measure_date,hour,visits,devices
2019-01-25,21,0,18304045
2019-01-25,22,0,18304045
2019-01-25,23,0,18304045
2019-01-26,0,0,17272533
2019-01-26,1,0,17272533
2019-01-26,2,0,17272533
2019-01-26,3,0,17272533
2019-01-26,4,0,17272533
2019-01-26,5,0,17272533
2019-01-26,6,0,17272533
2019-01-26,7,0,17272533
2019-01-26,8,0,17272533
2019-01-26,9,0,17272533
2019-01-26,10,0,17272533
2019-01-26,11,3,17272533
2019-01-26,12,3,17272533
2019-01-26,13,1,17272533
2019-01-26,14,4,17272533
2019-01-26,15,0,17272533
2019-01-26,16,0,17272533
2019-01-26,17,0,17272533
2019-01-26,18,0,17272533
2019-01-26,19,0,17272533
2019-01-26,20,0,17272533
2019-01-26,21,0,17272533
2019-01-26,22,0,17272533
2019-01-26,23,0,17272533
2019-01-27,0,0,17246788
2019-01-27,1,0,17246788
2019-01-27,2,1,17246788
2019-01-27,3,0,17246788
2019-01-27,4,0,17246788
2019-01-27,5,0,17246788
2019-01-27,6,0,17246788
2019-01-27,7,1,17246788
2019-01-27,8,1,17246788
2019-01-27,9,0,17246788
2019-01-27,10,1,17246788
2019-01-27,11,1,17246788
2019-01-27,12,0,17246788
2019-01-27,13,2,17246788
2019-01-27,14,0,17246788
2019-01-27,15,0,17246788
2019-01-27,16,0,17246788
2019-01-27,17,0,17246788
2019-01-27,18,0,17246788
2019-01-27,19,0,17246788
2019-01-27,20,0,17246788
2019-01-27,21,0,17246788
2019-01-27,22,0,17246788
2019-01-27,23,0,17246788
2019-01-28,0,0,18414495
2019-01-28,1,0,18414495
2019-01-28,2,0,18414495
2019-01-28,3,0,18414495
2019-01-28,4,0,18414495
2019-01-28,5,0,18414495
2019-01-28,6,0,18414495
2019-01-28,7,0,18414495
2019-01-28,8,0,18414495
2019-01-28,9,1,18414495
2019-01-28,10,0,18414495
2019-01-28,11,0,18414495
2019-01-28,12,0,18414495
2019-01-28,13,2,18414495
2019-01-28,14,1,18414495
2019-01-28,15,0,18414495
2019-01-28,16,0,18414495
2019-01-28,17,0,18414495
2019-01-28,18,0,18414495
2019-01-28,19,0,18414495
2019-01-28,20,0,18414495
2019-01-28,21,0,18414495
2019-01-28,22,0,18414495
2019-01-28,23,0,18414495
2019-01-29,0,0,17913249
2019-01-29,1,0,17913249
2019-01-29,2,0,17913249
2019-01-29,3,0,17913249
2019-01-29,4,0,17913249
2019-01-29,5,0,17913249
2019-01-29,6,0,17913249
2019-01-29,7,0,17913249
2019-01-29,8,0,17913249
2019-01-29,9,0,17913249
2019-01-29,10,0,17913249
2019-01-29,11,0,17913249
2019-01-29,12,2,17913249
2019-01-29,13,0,17913249
2019-01-29,14,1,17913249
2019-01-29,15,0,17913249
2019-01-29,16,0,17913249
2019-01-29,17,0,17913249
2019-01-29,18,0,17913249
2019-01-29,19,0,17913249
2019-01-29,20,0,17913249
2019-01-29,21,0,17913249
2019-01-29,22,0,17913249
2019-01-29,23,0,17913249
2019-01-30,0,0,17439723
2019-01-30,1,0,17439723
2019-01-30,2,0,17439723
2019-01-30,3,0,17439723
2019-01-30,4,0,17439723
2019-01-30,5,0,17439723
2019-01-30,6,0,17439723
2019-01-30,7,0,17439723
2019-01-30,8,0,17439723
2019-01-30,9,0,17439723
2019-01-30,10,0,17439723
2019-01-30,11,1,17439723
2019-01-30,12,1,17439723
2019-01-30,13,0,17439723
2019-01-30,14,0,17439723
2019-01-30,15,2,17439723
2019-01-30,16,0,17439723
2019-01-30,17,0,17439723
2019-01-30,18,0,17439723
2019-01-30,19,0,17439723
2019-01-30,20,0,17439723
2019-01-30,21,0,17439723
2019-01-30,22,0,17439723
2019-01-30,23,0,17439723
2019-01-31,0,0,19625853
2019-01-31,1,0,19625853
2019-01-31,2,0,19625853
2019-01-31,3,0,19625853
2019-01-31,4,0,19625853
2019-01-31,5,0,19625853
2019-01-31,6,0,19625853
2019-01-31,7,0,19625853
2019-01-31,8,0,19625853
2019-01-31,9,0,19625853
2019-01-31,10,0,19625853
2019-01-31,11,1,19625853
2019-01-31,12,1,19625853
2019-01-31,13,0,19625853
2019-01-31,14,0,19625853
2019-01-31,15,0,19625853
2019-01-31,16,0,19625853
2019-01-31,17,0,19625853
2019-01-31,18,0,19625853
2019-01-31,19,0,19625853
2019-01-31,20,0,19625853
2019-01-31,21,0,19625853
2019-01-31,22,0,19625853
2019-01-31,23,0,19625853
2019-02-01,0,0,18707847
2019-02-01,1,0,18707847
2019-02-01,2,0,18707847
2019-02-01,3,0,18707847
2019-02-01,4,0,18707847
2019-02-01,5,0,18707847
2019-02-01,6,1,18707847
2019-02-01,7,0,18707847
2019-02-01,8,0,18707847
2019-02-01,9,2,18707847
2019-02-01,10,0,18707847
2019-02-01,11,1,18707847
2019-02-01,12,0,18707847
2019-02-01,13,0,18707847
2019-02-01,14,0,18707847
2019-02-01,15,1,18707847
2019-02-01,16,1,18707847
2019-02-01,17,0,18707847
2019-02-01,18,0,18707847
2019-02-01,19,0,18707847
2019-02-01,20,0,18707847
2019-02-01,21,0,18707847
2019-02-01,22,0,18707847
2019-02-01,23,0,18707847
2019-02-02,0,0,18405925
2019-02-02,1,0,18405925
2019-02-02,2,0,18405925
2019-02-02,3,0,18405925
2019-02-02,4,0,18405925
2019-02-02,5,1,18405925
2019-02-02,6,0,18405925
2019-02-02,7,1,18405925
2019-02-02,8,0,18405925
2019-02-02,9,0,18405925
2019-02-02,10,0,18405925
2019-02-02,11,0,18405925
2019-02-02,12,0,18405925
2019-02-02,13,2,18405925
2019-02-02,14,0,18405925
2019-02-02,15,3,18405925
2019-02-02,16,1,18405925
2019-02-02,17,0,18405925
2019-02-02,18,0,18405925
2019-02-02,19,0,18405925
2019-02-02,20,0,18405925
2019-02-02,21,0,18405925
2019-02-02,22,0,18405925
2019-02-02,23,0,18405925
2019-02-03,0,0,18030218
2019-02-03,1,0,18030218
2019-02-03,2,0,18030218
2019-02-03,3,0,18030218
2019-02-03,4,0,18030218
2019-02-03,5,0,18030218
2019-02-03,6,0,18030218
2019-02-03,7,0,18030218
2019-02-03,8,1,18030218
2019-02-03,9,0,18030218
2019-02-03,10,5,18030218
2019-02-03,11,0,18030218
2019-02-03,12,0,18030218
2019-02-03,13,3,18030218
2019-02-03,14,0,18030218
2019-02-03,15,0,18030218
2019-02-03,16,0,18030218
2019-02-03,17,0,18030218
2019-02-03,18,0,18030218
2019-02-03,19,0,18030218
2019-02-03,20,0,18030218
2019-02-03,21,0,18030218
2019-02-03,22,0,18030218
2019-02-03,23,0,18030218
2019-02-04,0,0,18765379
2019-02-04,1,0,18765379
2019-02-04,2,0,18765379
2019-02-04,3,0,18765379
2019-02-04,4,0,18765379
2019-02-04,5,0,18765379
2019-02-04,6,0,18765379
2019-02-04,7,1,18765379
2019-02-04,8,0,18765379
2019-02-04,9,0,18765379
2019-02-04,10,1,18765379
2019-02-04,11,0,18765379
2019-02-04,12,1,18765379
2019-02-04,13,1,18765379
2019-02-04,14,2,18765379
2019-02-04,15,0,18765379
2019-02-04,16,0,18765379
2019-02-04,17,0,18765379
2019-02-04,18,0,18765379
2019-02-04,19,0,18765379
2019-02-04,20,0,18765379
2019-02-04,21,1,18765379
2019-02-04,22,0,18765379
2019-02-04,23,0,18765379
2019-02-05,0,0,18837943
2019-02-05,1,0,18837943
2019-02-05,2,0,18837943
2019-02-05,3,0,18837943
2019-02-05,4,0,18837943
2019-02-05,5,0,18837943
2019-02-05,6,0,18837943
2019-02-05,7,0,18837943
2019-02-05,8,0,18837943
2019-02-05,9,0,18837943
2019-02-05,10,2,18837943
2019-02-05,11,2,18837943
2019-02-05,12,0,18837943
2019-02-05,13,0,18837943
2019-02-05,14,1,18837943
2019-02-05,15,0,18837943
2019-02-05,16,0,18837943
2019-02-05,17,0,18837943
2019-02-05,18,0,18837943
2019-02-05,19,0,18837943
2019-02-05,20,0,18837943
2019-02-05,21,0,18837943
2019-02-05,22,0,18837943
2019-02-05,23,0,18837943
2019-02-06,0,0,18842970
2019-02-06,1,0,18842970
2019-02-06,2,0,18842970
2019-02-06,3,0,18842970
2019-02-06,4,0,18842970
2019-02-06,5,0,18842970
2019-02-06,6,0,18842970
2019-02-06,7,0,18842970
2019-02-06,8,0,18842970
2019-02-06,9,0,18842970
2019-02-06,10,1,18842970
2019-02-06,11,0,18842970
2019-02-06,12,0,18842970
2019-02-06,13,1,18842970
2019-02-06,14,1,18842970
2019-02-06,15,0,18842970
2019-02-06,16,0,18842970
2019-02-06,17,0,18842970
2019-02-06,18,0,18842970
2019-02-06,19,0,18842970
2019-02-06,20,1,18842970
2019-02-06,21,0,18842970
2019-02-06,22,0,18842970
2019-02-06,23,1,18842970
2019-02-07,0,0,18547644
2019-02-07,1,0,18547644
2019-02-07,2,0,18547644
2019-02-07,3,0,18547644
2019-02-07,4,0,18547644
2019-02-07,5,0,18547644
2019-02-07,6,0,18547644
2019-02-07,7,0,18547644
2019-02-07,8,0,18547644
2019-02-07,9,1,18547644
2019-02-07,10,3,18547644
2019-02-07,11,0,18547644
2019-02-07,12,0,18547644
2019-02-07,13,1,18547644
2019-02-07,14,0,18547644
2019-02-07,15,0,18547644
2019-02-07,16,0,18547644
