safegraph_place_id,measure_date,day_total_visits,location_name
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-10,0,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-11,4,Bear Lake
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-11,4,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-11,1,Emerald Lake Trail
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-11,1,Hollowell Park Trailhead
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-12,1,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-12,0,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-12,1,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-12,0,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-13,4,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-13,3,Emerald Lake Trail
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-13,0,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-13,1,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-14,1,Bear Lake
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-14,0,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-14,1,Emerald Lake Trail
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-14,0,Hollowell Park Trailhead
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-15,0,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-15,1,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-15,1,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-15,4,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-16,19,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-16,2,Emerald Lake Trail
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-16,1,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-16,1,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-17,0,Bear Lake
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-17,14,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-17,3,Emerald Lake Trail
